iteration,V
0,256.67315341163203
1,148.97679443905375
2,99.41619887305627
3,95.72805304957006
4,95.70744614163013
5,95.65667337327243
6,95.68277289278372
7,95.60271249449802
8,95.62648832759459
9,95.54736717107983
10,95.57100668912621
11,95.49343619602081
12,95.51288307005804
13,95.43724003578797
14,95.45759143036543
15,95.38291045896632
16,95.40179334039603
17,95.32712901898655
18,95.34565510447437
19,95.2733616821031
20,95.24614012738888
21,95.21769957662039
22,95.19014219732405
23,95.16352125127626
24,95.13594688262134
25,95.10940700455485
26,95.08303488245487
27,95.05580227639479
28,95.02934192758569
29,95.00161972713867
