iteration,V
0,797.7362744396557
1,493.4613094953958
2,349.53568266342415
3,274.1065933612748
4,231.52812136641904
5,206.2760492082368
6,190.67021741605234
7,179.747242120108
8,170.1598501089332
9,161.33940777197316
10,152.59670361167989
11,144.47263555404996
12,136.8577697099059
13,129.75735604085412
14,122.72197908928455
15,116.19559439599219
16,110.02256683484677
17,104.22246995680779
18,98.70669999220804
19,93.49593777959949
20,88.54044402754137
21,83.86921544245997
22,79.41332839272334
23,75.21947594608275
24,71.36240002261103
25,67.55983329859669
26,63.92572972861899
27,60.560986041369915
28,57.366560353007124
29,54.34623748469293
