iteration,obj,obj with slack
0,344.3802511655263,12627.600753713485
1,308.474832555141,49698.17023010549
2,277.17336359468675,290610.73630133085
3,249.46197116420862,2460506.553409461
4,224.5980081838376,2204944.529877565
5,202.24113110115556,1975444.2726985891
6,182.14013063018402,1769232.4860373102
7,164.05616910503298,1583558.4599102149
8,147.78511092466067,1416592.7366012183
9,133.15411131833991,1266148.0007416706
10,119.99640759148463,1131438.366564946
11,108.17827891760132,1009460.2489122065
12,97.64749055876,900895.8185460058
13,88.20580401016527,803459.0750646725
14,79.81230485211968,716353.9923009991
15,72.36534605914613,639893.6577444705
16,65.67377332365325,570960.3386958215
17,59.703260189838694,509300.2373788377
18,54.33248162098331,453341.392860557
19,49.4969384031312,403965.98477947596
20,45.15701962728311,359027.5968088648
21,41.258128636387646,318856.8999268012
22,37.749138065198956,282637.57496119855
23,34.606080254364244,250029.68678827473
24,31.7792359295104,221688.40401244606
25,29.250118292872607,194444.06493333483
26,26.987621770006996,170869.8126640577
27,24.99632565928873,149875.49096257344
28,23.211332438791533,131135.85877935114
29,21.615905806199002,114384.25828890428
30,20.185236709053537,99685.29972133838
31,18.908627454245913,86067.548265812
32,17.776286610606185,74190.57931213797
33,16.775451660903595,63569.304743797344
34,15.88587094847577,54038.98501553448
35,15.094731882644762,45411.777756276344
36,14.401023342198666,38305.79561364808
37,13.809783104980044,32333.644188445178
38,13.284784547892988,25856.237184463345
39,12.824280650656126,21152.773207093906
40,12.426170381770426,16623.814865017343
41,12.090945687704695,12823.928080833088
42,11.822817990545985,9702.61171636773
43,11.640005935630603,7596.441495253408
44,11.493287774257901,6038.834637805669
45,11.366764868596185,4585.921796685914
46,11.28208504637444,3391.086644503748
47,11.207021104169822,2604.627906511024
48,11.147424259228616,1998.311157783909
49,11.096923533235962,1753.7365737771806
50,11.050726230746385,1661.442263900515
51,11.00940824573493,1588.3259684233515
52,10.972909342975997,1530.007768429447
53,10.94104081589702,1482.236685045475
54,10.913551321520302,1444.349340164446
55,10.890299649029922,1409.002034951919
56,10.870916823958472,1378.442544061382
57,10.97622382678451,2125.865934246745
58,11.044429629768374,1355.5554067577689
59,11.073673858007316,969.0706625369402
60,11.104321774202361,722.9750955809219
61,11.134513302398657,769.9324356068447
62,11.16455444792821,826.1595732422597
63,11.194360828355855,874.2959231312461
